station_name,station_id
JAN MAYEN(NOR-NAVY),010010-99999
SORSTOKKEN,010014-99999
HORNSUND,010030-99999
NY-ALESUND,010070-99999
LONGYEAR,010080-99999
ANDOYA,010100-99999
HEKKINGEN FYR,010150-99999
BARDUFOSS,010230-99999
TROMSO,010260-99999
BJORNOYA ISLAND,010280-99999
KISTEFJELL,010300-99999
TORSVAG FYR,010330-99999
SKIBOTN 2,010370-99999
HASVIK,010440-99999
SORKJOSEN,010460-99999
KAUTOKEINO II,010470-99999
ALTA,010490-99999
HAMMERFEST AP,010520-99999
FRUHOLMEN FYR,010550-99999
SUOLOVUOPMI LULIT,010580-99999
BANAK,010590-99999
HOPEN ISLAND,010620-99999
HONNINGSVAG/VALAN,010680-99999
MEHAMN,010740-99999
SLETTNES FYR,010780-99999
BERLEVAG,010830-99999
BATSFJORD,010860-99999
VADSO,010880-99999
SLEIPNER A OIL PLATFORM,010886-99999
HOYBUKTMOEN,010890-99999
VARDO,010980-99999
VARDO AP / SVARTNES,010990-99999
SKLINNA FYR,011020-99999
HEIDRUN,011025-99999
ROTVAER,011050-99999
ROEST III,011060-99999
ROST (NOR-AFB),011070-99999
BRONNOY,011120-99999
MYKEN,011150-99999
STOKKA,011160-99999
SOLVAER III,011210-99999
KJAERSTAD,011220-99999
MAJAVATN V,011320-99999
LEKNES,011410-99999
HELLIGVAER II,011440-99999
MOIRANA,011510-99999
BODO,011520-99999
BO I VESTERALEN,011560-99999
SKROVA FYR,011600-99999
SVOLVAER/HELLE,011610-99999
STORKMARKNES/SKAGEN,011620-99999
HARSTAD,011800-99999
EVENES,011830-99999
NARVIK III,011940-99999
SVINOY LH,012050-99999
ORSTA-VOLDA/HOVDEN,012090-99999
VIGRA,012100-99999
ONA II,012120-99999
ARO,012170-99999
TAFJORD,012180-99999
KVERNBERGET,012230-99999
AALESUND,012240-99999
VEIHOLMEN,012250-99999
SULA,012280-99999
DOMBAAS,012330-99999
ORKDAL-THAMSHAMN,012340-99999
