price,volume,date,change,changePercent,cumulativeReturn
163.33,22470,2020-01-02,0.17,0.10419,0.0
162.67,18915,2020-01-03,1.09,0.67459,-0.004040898793853054
162.95,25428,2020-01-06,1.6,0.99163,-0.00232657809343062
164.5,41072,2020-01-07,0.22,0.13392,0.007163411498193772
168.81,23271,2020-01-08,2.35,1.41,0.03355170513683947
172.58,114214,2020-01-09,1.28,0.74723,0.056633808853241874
171.47,64922,2020-01-10,-1.12,-0.64894,0.04983775179085281
173.0,56385,2020-01-13,1.1,0.63991,0.059205289903875524
174.38,31369,2020-01-14,0.38,0.21839,0.06765444192738612
176.26,58953,2020-01-15,0.7,0.39872,0.07916488091593687
175.76,36471,2020-01-16,0.24,0.13674,0.07610359395089672
172.94,37892,2020-01-17,0.05,0.02892012,0.05883793546807059
172.9,29846,2020-01-21,0.2,0.11581,0.05859303251086745
174.5,30455,2020-01-22,-0.21,-0.1202,0.06838915079899577
172.6,27722,2020-01-23,-0.145,-0.08104666,0.056756260331843444
171.22,71566,2020-01-24,-2.06,-1.19,0.04830710830833285
165.27,38690,2020-01-27,-1.07,-0.64326,0.011877793424355687
166.09,28035,2020-01-28,0.7,0.42324,0.016898304047021417
162.52,49035,2020-01-29,-0.9,-0.55073,-0.004959284883364945
162.5,41494,2020-01-30,0.2,0.12323,-0.005081736361966627
158.16,38127,2020-01-31,-3.03,-1.88,-0.03165370721851479
157.7,29369,2020-02-03,1.06,0.67671,-0.034470091226351696
161.28,51218,2020-02-04,-0.05,-0.03099238,-0.012551276556664437
160.36,36098,2020-02-05,0.09,0.05615524,-0.018184044572338243
159.26,39245,2020-02-06,-0.315,-0.19427,-0.024918875895426518
157.95,26540,2020-02-07,-0.98,-0.61662,-0.03293944774383162
156.47,27754,2020-02-10,-0.865,-0.54662,-0.04200085716035029
156.76,81291,2020-02-11,0.78,0.50006,-0.04022531072062707
158.74,48001,2020-02-12,0.01,0.00630001,-0.028102614339068133
156.32,27079,2020-02-13,0.71,0.45627,-0.042919243249862404
156.11,25313,2020-02-14,-1.12,-0.71233,-0.04420498377517912
154.15,42212,2020-02-18,0.102,0.06491399,-0.056205228678136376
158.03,34911,2020-02-19,0.845,0.54078,-0.03244964182942511
154.94,27241,2020-02-20,-0.67,-0.43056,-0.051368395273373
153.1,30256,2020-02-21,-1.25,-0.80985,-0.06263393130472061
142.9,51772,2020-02-24,-1.13,-0.79145,-0.12508418539153865
142.2,67442,2020-02-25,-4.55,-3.1,-0.12936998714259484
141.55,51338,2020-02-26,-2.22,-1.54,-0.1333496601971469
139.6,89372,2020-02-27,-1.66,-1.18,-0.14528867936080336
139.16,293368,2020-02-28,3.73,2.75,-0.1479826118900387
137.49,359960,2020-03-02,-0.99,-0.7149,-0.1582073103532725
138.77,151083,2020-03-03,-2.4,-1.7,-0.15037041572276988
142.55,110218,2020-03-04,2.17,1.55,-0.1272270862670667
138.24,111553,2020-03-05,-0.72,-0.51813,-0.1536153799057124
136.25,325907,2020-03-06,0.62,0.45713,-0.165799302026572
127.48,69433,2020-03-09,-2.91,-2.23,-0.2194942753933754
129.54,61566,2020-03-10,-1.13,-0.86477,-0.2068817730974103
111.96,272540,2020-03-11,-3.79,-3.27,-0.31451662278822023
95.95,418614,2020-03-12,-5.94,-5.83,-0.4125390314088043
97.3,422026,2020-03-13,-4.89,-4.79,-0.4042735566031961
94.42,442942,2020-03-16,0.86,0.9192,-0.42190656952182704
95.2,185386,2020-03-17,-0.01,-0.0105031,-0.41713096185636445
90.09,397507,2020-03-18,-3.89,-4.14,-0.4484173146390743
94.41,276012,2020-03-19,0.89,0.95167,-0.4219677952611278
96.98,424093,2020-03-20,-5.46,-5.32,-0.40623278026082166
96.73,152645,2020-03-23,-0.03,-0.03100455,-0.40776342374334174
105.55,67195,2020-03-24,2.42,2.35,-0.3537623216800344
114.0,158813,2020-03-25,1.41,1.25,-0.3020265719708566
119.21,68982,2020-03-26,3.89,3.37,-0.27012796179513876
114.73,75146,2020-03-27,-0.89,-0.76976,-0.29755709300189803
115.02,63472,2020-03-30,3.02,2.7,-0.2957815465621748
111.47,44492,2020-03-31,-1.68,-1.48,-0.3175166840139595
107.78,53150,2020-04-01,-0.775,-0.7185,-0.3401089818159555
105.8,42718,2020-04-02,-1.59,-1.48,-0.35223167819751433
101.85,82341,2020-04-03,-0.6699,-0.65353,-0.3764158452213311
109.1,105429,2020-04-06,2.08,1.94,-0.3320271842282496
112.65,55103,2020-04-07,-3.45,-2.97,-0.3102920467764648
117.85,63568,2020-04-08,0.98,0.83854,-0.2784546623400479
124.23,46249,2020-04-09,2.53,2.08,-0.23939264066613608
121.59,46042,2020-04-13,-2.65,-2.13,-0.25555623584154785
124.66,67542,2020-04-14,2.26,1.85,-0.23675993387620164
117.25,74966,2020-04-15,-1.31,-1.1,-0.2821282066980959
115.17,84732,2020-04-16,-1.03,-0.8864,-0.2948631604726627
120.0,73232,2020-04-17,0.53,0.44363,-0.2652911283903754
119.43,49341,2020-04-20,0.69,0.5811,-0.26878099553052104
115.34,52660,2020-04-21,-1.02,-0.87659,-0.2938223229045491
112.45,50022,2020-04-22,0.0,0.0,-0.31151656156248086
111.0,43914,2020-04-23,-0.97,-0.8663,-0.3203942937610972
112.07,31436,2020-04-24,1.42,1.28,-0.3138431396559115
112.1,57589,2020-04-27,2.62,2.39,-0.313659462438009
110.75,62174,2020-04-28,-2.11,-1.88,-0.32192493724361726
115.85,117225,2020-04-29,1.69,1.48,-0.2906998102002083
114.2,97711,2020-04-30,-0.45,-0.3925,-0.30080205718484054
112.15,38799,2020-05-01,-0.755,-0.6731,-0.313353333741505
108.3,199571,2020-05-04,2.27,2.13,-0.3369252433723138
107.7,76893,2020-05-05,0.82,0.76722,-0.3405987877303619
107.24,38093,2020-05-06,-0.59,-0.54716,-0.3434151717381988
113.37,67755,2020-05-07,0.2,0.17673,-0.30588379354680706
112.5,145679,2020-05-08,-0.06,-0.0533049,-0.31121043286597694
111.09,93551,2020-05-11,-0.42,-0.37665,-0.31984326210739
108.77,94641,2020-05-12,-2.72,-2.44,-0.3340476336251761
106.5,51041,2020-05-13,-1.92,-1.77,-0.34794587644645814
106.44,55078,2020-05-14,3.38,3.28,-0.34831323088226296
108.82,47723,2020-05-15,0.77,0.71263,-0.33374150492867216
117.96,69382,2020-05-18,3.77,3.3,-0.27778117920773904
117.53,70710,2020-05-19,-1.44,-1.21,-0.2804138859976735
120.38,52054,2020-05-20,0.34,0.28324,-0.2629645502969449
118.65,45127,2020-05-21,-1.22,-1.02,-0.2735566031959836
119.2,35469,2020-05-22,1.19,1.02,-0.27018918753443955
124.88,36409,2020-05-26,-0.65,-0.5178,-0.23541296761158403
129.28,47343,2020-05-27,0.0675,0.05417537,-0.20847364231923105
131.01,74215,2020-05-28,0.86,0.66078,-0.1978815894201924
133.18,169766,2020-05-29,0.53,0.39955,-0.1845956039919182
136.69,45544,2020-06-01,3.69,2.77,-0.16310536949733678
135.24,37762,2020-06-02,0.71,0.52776,-0.171983101695953
142.0,40851,2020-06-03,3.38,2.44,-0.13059450192861088
144.51,72159,2020-06-04,2.04,1.43,-0.11522684136410954
149.18,33722,2020-06-05,2.72,1.86,-0.08663442111063491
146.81,66439,2020-06-08,-1.05,-0.71013,-0.10114492132492503
142.92,68902,2020-06-09,1.11,0.78274,-0.12496173391293719
141.01,53373,2020-06-10,-0.55,-0.38853,-0.1366558501193903
130.25,95338,2020-06-11,-6.13,-4.49,-0.2025347456070533
131.25,52367,2020-06-12,-0.35,-0.26596,-0.1964121716769731
132.99,71272,2020-06-15,4.26,3.31,-0.18575889303863347
134.74,29764,2020-06-16,-2.25,-1.64,-0.17504438866099314
135.35,43649,2020-06-17,0.43,0.31871,-0.17130961856364424
134.77,18056,2020-06-18,0.98,0.73249,-0.17486071144309068
131.99,28675,2020-06-19,-4.19,-3.08,-0.19188146696871367
133.49,27534,2020-06-22,2.26,1.72,-0.1826976060735933
136.93,21809,2020-06-23,-0.23,-0.16769,-0.1616359517541175
132.02,35585,2020-06-24,-3.09,-2.29,-0.1916977897508112
135.73,36444,2020-06-25,1.86,1.39,-0.16898304047021384
130.0,58790,2020-06-26,-2.94,-2.21,-0.20406538908957328
130.3,24786,2020-06-29,0.835,0.64108,-0.20222861691054916
131.68,17204,2020-06-30,1.43,1.1,-0.19377946488703857
133.09,12912,2020-07-01,0.04,0.03006389,-0.1851466356456255
137.13,19375,2020-07-02,-0.69,-0.50065,-0.16041143696810145
140.19,25085,2020-07-06,0.11,0.07852656,-0.14167636074205603
