price,volume,date,change,changePercent,cumulativeReturn
100.92,370285,2020-01-02,0.47,0.46789,0.0
101.24,314617,2020-01-03,1.24,1.24,0.0031708283789140257
100.47,406094,2020-01-06,-0.02,-0.01990248,-0.004458977407847842
100.33,370233,2020-01-07,-0.18,-0.17909,-0.005846214823622686
100.37,302172,2020-01-08,-0.12,-0.11941,-0.00544986127625835
99.75,307478,2020-01-09,-1.0,-0.99256,-0.011593341260404344
97.62,246579,2020-01-10,-2.26,-2.26,-0.03269916765755054
97.51,313495,2020-01-13,-0.33,-0.33729,-0.03378913991280219
97.58,398989,2020-01-14,0.13,0.1334,-0.03309552120491477
96.89,533332,2020-01-15,-0.51,-0.52361,-0.039932619896948074
95.88,445541,2020-01-16,-0.47,-0.4878,-0.049940546967895405
95.59,387080,2020-01-17,-0.79,-0.81967,-0.05281411018628612
97.28,585942,2020-01-21,1.49,1.56,-0.036068172810146626
97.13,221638,2020-01-22,-0.71,-0.72567,-0.03755449861276261
95.71,598974,2020-01-23,-0.59,-0.61267,-0.051625049544193446
93.35,473287,2020-01-24,-1.61,-1.7,-0.07500990883868419
91.76,445961,2020-01-27,-0.11,-0.11973,-0.09076496234641296
93.9,451964,2020-01-28,1.69,1.83,-0.06956004756242562
94.78,328551,2020-01-29,0.43,0.45575,-0.060840269520412216
95.53,335460,2020-01-30,1.16,1.23,-0.05340864050733252
93.92,511190,2020-01-31,-1.97,-2.05,-0.06936187078874356
94.0,375174,2020-02-03,-0.73,-0.77061,-0.06856916369401511
94.45,377029,2020-02-04,-0.92,-0.96466,-0.06411018628616727
94.95,429520,2020-02-05,-0.52,-0.54467,-0.059155766944114174
94.21,591156,2020-02-06,-1.36,-1.42,-0.06648830757035284
90.45,1846538,2020-02-07,1.45,1.63,-0.10374554102259215
89.83,744878,2020-02-10,-0.7,-0.77322,-0.10988902100673803
90.44,488466,2020-02-11,0.37,0.41079,-0.10384462940943329
91.71,619602,2020-02-12,0.95,1.05,-0.09126040428061843
