price,volume,date,change,changePercent,cumulativeReturn
102.2,5644162,2020-01-02,0.84,0.82873,0.0
101.92,4542003,2020-01-03,1.33,1.32,-0.002739726027397249
101.83,4612752,2020-01-06,0.88,0.87172,-0.0036203522504892893
101.78,6818719,2020-01-07,-0.03,-0.02946665,-0.004109589041095929
101.55,4942205,2020-01-08,0.24,0.2369,-0.006360078277886538
101.48,5007639,2020-01-09,-0.46,-0.45125,-0.007045009784735767
100.9,5135459,2020-01-10,-0.99,-0.97164,-0.012720156555772966
102.16,6722718,2020-01-13,1.16,1.15,-0.0003913894324854006
102.92,5088633,2020-01-14,0.47,0.45876,0.007045009784735878
102.79,4209191,2020-01-15,-0.46,-0.44552,0.0057729941291584375
103.37,6571710,2020-01-16,0.49,0.47628,0.011448140900195636
104.53,6271369,2020-01-17,1.1,1.06,0.022798434442270032
104.58,4854693,2020-01-21,0.33,0.31655,0.023287671232876672
104.49,5031401,2020-01-22,-0.51,-0.48571,0.022407045009784632
103.02,7102868,2020-01-23,-1.01,-0.97087,0.008023483365949158
102.03,3839278,2020-01-24,-1.56,-1.51,-0.0016634050880626194
100.24,9841427,2020-01-27,2.03,2.07,-0.019178082191780854
100.41,5673193,2020-01-28,0.07,0.06976281,-0.017514677103718235
99.84,4504110,2020-01-29,-1.23,-1.22,-0.023091976516634083
98.19,7065065,2020-01-30,-0.83,-0.83821,-0.03923679060665364
96.3,8780345,2020-01-31,-1.81,-1.84,-0.05772994129158515
99.27,9727690,2020-02-03,0.27,0.27273,-0.02866927592954993
101.38,6559561,2020-02-04,-0.53,-0.52007,-0.008023483365949158
100.54,6108309,2020-02-05,-1.22,-1.2,-0.016242661448140905
100.27,5641823,2020-02-06,-0.63,-0.62438,-0.018884540117416915
99.44,4122035,2020-02-07,-0.37,-0.3707,-0.02700587084148731
100.02,4213929,2020-02-10,0.8,0.80629,-0.021330724070450113
100.02,4871893,2020-02-11,-0.05,-0.04996502,-0.021330724070450113
103.0,8075612,2020-02-12,2.26,2.24,0.007827788649706457
103.37,5386913,2020-02-13,0.86,0.83894,0.011448140900195636
103.54,4305480,2020-02-14,0.01,0.00965904,0.013111545988258255
102.0,4916709,2020-02-18,-1.0,-0.97087,-0.00195694716242667
102.46,6200501,2020-02-19,-0.2,-0.19482,0.0025440313111544377
102.53,6427606,2020-02-20,0.07,0.06831934,0.0032289628180039998
100.25,5750854,2020-02-21,-1.75,-1.72,-0.019080234833659504
95.91,8364218,2020-02-24,0.37,0.38727,-0.06154598825831703
92.9,9602121,2020-02-25,-3.45,-3.58,-0.09099804305283754
92.0,9308916,2020-02-26,-1.08,-1.16,-0.09980430528375739
88.55,12825658,2020-02-27,-1.45,-1.61,-0.13356164383561653
89.38,16565661,2020-02-28,3.35,3.89,-0.12544031311154602
92.68,14102048,2020-03-02,3.08,3.44,-0.0931506849315068
90.93,14767611,2020-03-03,-1.81,-1.95,-0.11027397260273963
93.79,6904443,2020-03-04,1.71,1.86,-0.08228962818003915
90.58,8851096,2020-03-05,-0.68,-0.74512,-0.11369863013698633
88.36,12336707,2020-03-06,0.0,0.0,-0.13542074363992174
84.11,13272738,2020-03-09,2.22,2.71,-0.17700587084148733
88.3,12755879,2020-03-10,1.61,1.86,-0.13600782778864973
84.0,16172670,2020-03-11,0.0,0.0,-0.17808219178082196
74.2,21534806,2020-03-12,-4.03,-5.15,-0.273972602739726
75.58,21859583,2020-03-13,-2.62,-3.35,-0.26046966731898247
66.79,17976683,2020-03-16,1.51,2.31,-0.34647749510763204
69.84,17122099,2020-03-17,2.33,3.45,-0.31663405088062624
68.04,19498805,2020-03-18,3.25,5.02,-0.3342465753424657
70.34,16177152,2020-03-19,3.3,4.92,-0.3117416829745596
67.45,15761860,2020-03-20,-4.06,-5.68,-0.34001956947162426
62.8,17689998,2020-03-23,-2.2,-3.38,-0.3855185909980431
72.33,18849461,2020-03-24,6.63,10.09,-0.29227005870841494
