price,volume,date,change,changePercent,cumulativeReturn
324.87,59253833,2020-01-02,1.33,0.41108,0.0
322.41,77783566,2020-01-03,1.25,0.38921,-0.007572259673099935
323.64,55761948,2020-01-06,3.15,0.98287,-0.003786129836550023
322.73,42854811,2020-01-07,-0.29,-0.08977772,-0.006587250284729285
324.45,68434153,2020-01-08,1.51,0.46758,-0.0012928248222365823
326.65,48569601,2020-01-09,0.49,0.15023,0.005479114722812151
325.71,53057389,2020-01-10,-1.58,-0.48275,0.0025856496444731647
327.95,47262010,2020-01-13,1.56,0.47796,0.00948071536306827
327.45,63036384,2020-01-14,-0.02,-0.00610743,0.007941638193738942
328.19,72056598,2020-01-15,0.84,0.25661,0.010219472404346286
330.92,54050328,2020-01-16,1.22,0.37003,0.018622833748884293
331.95,95846017,2020-01-17,0.25,0.07536931,0.02179333271770245
331.3,77742415,2020-01-21,0.4,0.12088,0.019792532397574503
331.34,48914899,2020-01-22,-0.9,-0.27089,0.019915658571120654
331.72,52004140,2020-01-23,1.09,0.32967,0.021085357219811085
328.77,87578442,2020-01-24,-3.67,-1.1,0.012004801920768138
323.5,84062463,2020-01-27,0.47,0.1455,-0.004217071443962217
326.89,63833953,2020-01-28,1.83,0.56297,0.006217871764090166
326.62,54040889,2020-01-29,-1.76,-0.53596,0.0053867700926524265
327.68,75491844,2020-01-30,3.32,1.02,0.008649613691630531
321.73,113845576,2020-01-31,-5.27,-1.61,-0.00966540462338783
324.12,69242293,2020-02-03,0.77,0.23813,-0.002308615753993881
329.06,62573190,2020-02-04,0.99,0.30176,0.012897466678979175
332.86,65951146,2020-02-05,0.59,0.17757,0.024594453165881713
333.98,50359688,2020-02-06,0.07,0.02096373,0.028041986025179266
332.2,64139443,2020-02-07,-0.62,-0.18629,0.022562871302367116
334.68,42070006,2020-02-10,3.45,1.04,0.030196694062240237
335.26,54864533,2020-02-11,-0.9,-0.26773,0.03198202357866209
337.42,43992662,2020-02-12,0.59,0.17516,0.03863083695016467
337.06,54501922,2020-02-13,1.2,0.35729,0.03752270138824754
337.6,64582210,2020-02-14,0.09,0.02666588,0.03918490473112324
336.73,57342526,2020-02-18,0.22,0.06537696,0.03650691045649035
338.34,48814692,2020-02-19,0.55,0.16282,0.04146273894173036
336.95,74163362,2020-02-20,-0.7923,-0.23391,0.03718410441099507
333.48,113788208,2020-02-21,-1.99,-0.5932,0.02650290885585016
322.42,161088409,2020-02-24,-0.72,-0.22281,-0.007541478129713397
312.65,218913168,2020-02-25,-11.29,-3.49,-0.03761504601840748
311.5,194773819,2020-02-26,-2.68,-0.85301,-0.04115492350786465
297.51,284353460,2020-02-27,-7.95,-2.6,-0.08421830270569775
296.26,385764020,2020-02-28,7.56,2.62,-0.08806599562902084
309.09,238703625,2020-03-02,10.88,3.65,-0.048573275464031895
300.24,300139150,2020-03-03,-9.26,-2.99,-0.07581494136115985
312.86,176613448,2020-03-04,6.74,2.2,-0.03696863360728908
302.46,186366809,2020-03-05,-2.52,-0.82628,-0.06898143872933793
297.46,228667168,2020-03-06,4.31,1.47,-0.08437221042263066
274.23,309417350,2020-03-09,-1.07,-0.38867,-0.15587773570966845
288.42,276444060,2020-03-10,3.78,1.33,-0.11219872564410371
274.36,256416563,2020-03-11,-6.34,-2.26,-0.1554775756456428
248.11,392220670,2020-03-12,-7.89,-3.08,-0.23627912703542953
269.32,329566100,2020-03-13,6.23,2.37,-0.1709914735124819
239.85,297240030,2020-03-16,-1.33,-0.55146,-0.2617046818727491
252.8,262070471,2020-03-17,7.76,3.17,-0.22184258318712102
240.0,327597130,2020-03-18,3.75,1.59,-0.26124295872195036
240.51,289322040,2020-03-19,1.26,0.52665,-0.2596731000092345
228.8,347158790,2020-03-20,-13.73,-5.66,-0.295718287314926
222.95,326025170,2020-03-23,-5.24,-2.3,-0.3137254901960784
243.15,235494475,2020-03-24,8.73,3.72,-0.2515467725551759
246.79,299430255,2020-03-25,1.92,0.78409,-0.24034229076245883
261.2,257632816,2020-03-26,11.68,4.68,-0.19598608674238926
253.42,224341217,2020-03-27,0.15,0.05922533,-0.2199341274971528
261.65,170961866,2020-03-30,5.95,2.33,-0.19460091728999296
257.75,194881060,2020-03-31,-2.81,-1.08,-0.2066057192107612
246.15,189554623,2020-04-01,-1.83,-0.73796,-0.24231230953920024
251.83,177660430,2020-04-02,6.64,2.71,-0.22482839289561973
248.19,135561171,2020-04-03,-2.57,-1.02,-0.2360328746883369
264.86,188061238,2020-04-06,7.02,2.72,-0.18472004186289892
265.13,201427189,2020-04-07,-9.08,-3.31,-0.18388894019146118
274.03,153774487,2020-04-08,6.07,2.27,-0.15649336657740032
278.2,190282705,2020-04-09,0.62,0.22336,-0.1436574629851941
275.66,115139268,2020-04-13,-1.48,-0.53403,-0.15147597500538668
283.79,134143350,2020-04-14,2.81,1.0,-0.12645058023209277
277.76,121775006,2020-04-15,0.19,0.0684512,-0.14501185089420388
279.1,131798325,2020-04-16,-0.05,-0.01791152,-0.14088712408040138
286.64,146684784,2020-04-17,1.26,0.44152,-0.11767784036691609
281.59,100224647,2020-04-20,-1.02,-0.36092,-0.13322251977714172
273.04,126385698,2020-04-21,-3.69,-1.33,-0.1595407393726721
279.1,93524584,2020-04-22,0.75,0.26944,-0.14088712408040138
279.08,104709693,2020-04-23,-1.41,-0.50269,-0.14094868716717457
282.97,85165953,2020-04-24,2.24,0.79792,-0.12897466678979275
287.05,77896608,2020-04-27,1.93,0.67691,-0.11641579708806593
285.73,105283871,2020-04-28,-5.29,-1.82,-0.12047896081509524
293.21,118745579,2020-04-29,1.68,0.57627,-0.0974543663619295
290.48,122901701,2020-04-30,-1.23,-0.42165,-0.10585772770646718
282.79,125180028,2020-05-01,-2.52,-0.88325,-0.1295287345707513
283.57,80873213,2020-05-04,2.83,1.01,-0.1271277741865977
286.19,79569938,2020-05-05,-0.45,-0.15699,-0.1190630098193124
284.25,73632628,2020-05-06,-3.79,-1.32,-0.12503462923630992
287.68,75250412,2020-05-07,-0.07,-0.02432667,-0.11447655985471106
292.44,76622128,2020-05-08,1.35,0.46377,-0.09982454520269646
292.5,79514231,2020-05-11,2.16,0.74396,-0.09963985594237701
286.67,95870786,2020-05-12,-7.12,-2.42,-0.11758549573675625
281.6,144721099,2020-05-13,-4.46,-1.56,-0.13319173823375496
284.97,121977890,2020-05-14,6.02,2.16,-0.12281835811247566
286.28,111146276,2020-05-15,3.91,1.38,-0.11878597592883322
295.0,120320229,2020-05-18,1.95,0.66542,-0.09194447009573059
291.97,95189316,2020-05-19,-2.38,-0.80856,-0.10127127774186595
296.93,85861691,2020-05-20,1.11,0.37523,-0.0860036322221196
294.88,78293925,2020-05-21,-1.91,-0.64355,-0.0923138486163696
295.44,63958200,2020-05-22,0.87,0.29535,-0.09059008218672082
299.08,88951442,2020-05-26,-2.85,-0.94393,-0.07938560039400377
303.53,104817449,2020-05-27,1.41,0.4667,-0.0656878135869734
302.97,90767807,2020-05-28,-1.68,-0.55145,-0.06741158001662195
304.32,119265702,2020-05-29,1.86,0.61496,-0.06325607165943303
305.55,56779836,2020-06-01,1.93,0.63566,-0.05946994182288301
308.08,74267162,2020-06-02,1.53,0.4991,-0.05168221134607698
312.18,92567574,2020-06-03,1.94,0.62532,-0.039061778557576865
311.36,75794363,2020-06-04,0.25,0.08035743,-0.04158586511527684
319.34,150524674,2020-06-05,2.11,0.66513,-0.01702219349278178
323.2,73641217,2020-06-08,2.98,0.93061,-0.005140517745559792
320.79,77479228,2020-06-09,0.49,0.15298,-0.012558869701726816
319.0,95000766,2020-06-10,-2.42,-0.75291,-0.018068765967925615
300.61,209243560,2020-06-11,-10.85,-3.48,-0.07467602425585618
304.21,194678879,2020-06-12,-4.03,-1.31,-0.0635946686366855
307.05,135782724,2020-06-15,9.03,3.03,-0.05485271031489514
312.96,137627502,2020-06-16,-2.52,-0.79878,-0.03666081817342326
311.66,83398944,2020-06-17,-2.41,-0.76734,-0.04066241881367927
311.78,80828658,2020-06-18,1.77,0.57095,-0.04029304029304037
308.64,135549624,2020-06-19,-5.53,-1.76,-0.0499584449164282
310.62,74649389,2020-06-22,2.63,0.85392,-0.04386369932588419
312.05,68471246,2020-06-23,-1.44,-0.45934,-0.03946193862160241
304.09,132813492,2020-06-24,-5.75,-1.86,-0.06396404715732451
307.35,89467968,2020-06-25,3.88,1.28,-0.05392926401329756
300.05,127961017,2020-06-26,-6.11,-2.0,-0.07639979068550495
304.46,79773260,2020-06-29,3.05,1.01,-0.06282513005202084
308.36,113394772,2020-06-30,4.37,1.44,-0.05082032813125248
310.52,72396542,2020-07-01,0.95,0.30688,-0.04417151475975012
312.23,69344217,2020-07-02,-2.01,-0.63964,-0.038907870840643954
317.05,61713828,2020-07-06,0.68,0.21494,-0.024071166928309795
313.78,82909963,2020-07-07,-1.6,-0.50732,-0.03413673161572328
316.18,54638596,2020-07-08,1.57,0.49903,-0.026749161202942684
314.38,83354158,2020-07-09,-2.46,-0.77642,-0.03228983901252813
317.59,57550365,2020-07-10,3.28,1.04,-0.022408963585434316
314.84,102997484,2020-07-13,-5.29,-1.65,-0.030873888016745288
318.92,93656951,2020-07-14,5.62,1.79,-0.01831501831501825
321.85,87196524,2020-07-15,-0.56,-0.17369,-0.009296026102748711
320.79,54622520,2020-07-16,1.0,0.31271,-0.012558869701726816
321.72,62774911,2020-07-17,-0.16,-0.04970797,-0.009696186166774368
324.32,56308749,2020-07-20,2.89,0.89911,-0.0016929848862622388
325.01,57498967,2020-07-21,-1.44,-0.44111,0.0004309416074121941
326.86,57792915,2020-07-22,2.24,0.69004,0.006125527133930442
322.96,75737989,2020-07-23,-3.51,-1.08,-0.005879274786837918
320.88,73766597,2020-07-24,-0.07,-0.02181025,-0.012281835811247643
