price,volume,date,change,changePercent,cumulativeReturn
19.24,3295267,2020-01-02,-0.11,-0.56848,0.0
19.27,2733564,2020-01-03,0.28,1.47,0.0015592515592515177
18.37,4227751,2020-01-06,-0.63,-3.32,-0.045218295218295124
18.59,2687600,2020-01-07,0.25,1.36,-0.03378378378378366
18.16,2502956,2020-01-08,-0.51,-2.73,-0.05613305613305608
17.78,1942416,2020-01-09,-0.39,-2.15,-0.07588357588357575
17.77,1146262,2020-01-10,0.01,0.05630631,-0.07640332640332637
18.04,1545988,2020-01-13,0.24,1.35,-0.062370062370062374
18.76,2015626,2020-01-14,0.67,3.7,-0.02494802494802484
18.9,1357511,2020-01-15,0.19,1.02,-0.017671517671517645
19.02,1450695,2020-01-16,-0.03,-0.15748,-0.011434511434511352
18.37,2460686,2020-01-17,-0.82,-4.27,-0.045218295218295124
18.09,2177239,2020-01-21,-0.23,-1.26,-0.05977130977130973
18.31,1482096,2020-01-22,0.22,1.22,-0.04833679833679838
18.78,1697278,2020-01-23,0.58,3.19,-0.023908523908523716
18.61,1626792,2020-01-24,-0.27,-1.43,-0.03274428274428265
18.45,1260623,2020-01-27,0.43,2.39,-0.041060291060290965
18.68,1293687,2020-01-28,0.12,0.64655,-0.029106029106028997
18.68,1263855,2020-01-29,-0.12,-0.6383,-0.029106029106028997
18.55,1191679,2020-01-30,-0.05,-0.26882,-0.035862785862785795
17.96,1364271,2020-01-31,-0.53,-2.87,-0.06652806652806642
17.98,2503074,2020-02-03,-0.09,-0.49806,-0.06548856548856541
18.42,2300949,2020-02-04,0.13,0.71077,-0.04261954261954248
18.5,1695154,2020-02-05,-0.12,-0.64447,-0.038461538461538436
18.4,1496256,2020-02-06,-0.23,-1.23,-0.043659043659043606
17.97,2172598,2020-02-07,-0.49,-2.65,-0.06600831600831603
18.15,2580529,2020-02-10,0.02,0.11031,-0.0566528066528067
15.12,16242071,2020-02-11,-0.14,-0.91743,-0.2141372141372141
15.45,6630871,2020-02-12,0.19,1.25,-0.19698544698544695
15.13,5064542,2020-02-13,-0.32,-2.07,-0.21361746361746348
15.45,3674999,2020-02-14,0.3,1.98,-0.19698544698544695
15.0,4741002,2020-02-18,-0.35,-2.28,-0.22037422037422028
14.96,3352858,2020-02-19,-0.04,-0.26667,-0.2224532224532223
14.94,3053457,2020-02-20,-0.06,-0.4,-0.22349272349272342
14.57,3054320,2020-02-21,-0.29,-1.95,-0.2427234927234927
14.14,3752929,2020-02-24,0.16,1.14,-0.265072765072765
13.46,3292430,2020-02-25,-0.82,-5.74,-0.3004158004158003
13.04,3404775,2020-02-26,-0.55,-4.05,-0.3222453222453222
12.55,5896687,2020-02-27,-0.17,-1.34,-0.34771309771309766
12.48,9251771,2020-02-28,0.29,2.38,-0.3513513513513513
12.49,6419048,2020-03-02,-0.06,-0.47809,-0.3508316008316008
12.2,7205879,2020-03-03,-0.32,-2.56,-0.3659043659043659
